"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"facultative",13,8560,83.34562,0.13899,74.053
"Y2",13,9004,83.34562,0.14620,73.587
"intensity",206,1061264,1320.70752,17.23223,72.493
"X1",23,64850,147.45764,1.05300,72.313
"weighted",46,193374,294.91528,3.13990,71.479
"factore",11,250,70.52322,0.00406,71.234
"vehicle-specific",11,1140,70.52322,0.01851,70.223
"granularity",18,41338,115.40163,0.67122,69.651
"WLTP",12,7412,76.93442,0.12035,69.562
"Ula",14,19189,89.75682,0.31158,69.197
"project-specific",12,7821,76.93442,0.12699,69.153
"Casualty",18,42210,115.40163,0.68538,69.065
"GHGs",12,7989,76.93442,0.12972,68.986
"Nace",13,15054,83.34562,0.24444,67.778
"X4",15,26861,96.16802,0.43615,67.658
"disclose",194,1081000,1243.77307,17.55269,67.094
"Sovereign",31,122175,198.74725,1.98381,66.944
"Corporate",74,378107,474.42892,6.13950,66.591
"sovereign",89,471886,570.59692,7.66223,65.987
"transparently",19,53682,121.81283,0.87166,65.617
"EVICc",10,0,64.11201,0.00000,65.112
"premiumr",10,1,64.11201,0.00002,65.111
"CPWr",10,3,64.11201,0.00005,65.109
"issuer-level",10,46,64.11201,0.00075,65.063
"corporate-like",10,171,64.11201,0.00278,64.932
"asset",623,3733300,3994.17871,60.61930,64.836
"WACI",10,340,64.11201,0.00552,64.755
"Z1",13,19500,83.34562,0.31663,64.062
"Subchapter",12,13470,76.93442,0.21872,63.948
"sub-option",10,1464,64.11201,0.02377,63.600
"revenue-based",10,1645,64.11201,0.02671,63.418
"perfluorocarbon",10,1679,64.11201,0.02726,63.384
"VE",17,46006,108.99043,0.74702,62.959
"Carbon",62,329799,397.49451,5.35510,62.705
"ICCT",10,2665,64.11201,0.04327,62.411
"ICMA",11,9446,70.52322,0.15338,62.012
"hydrofluorocarbon",10,3089,64.11201,0.05016,62.002
"PFCs",10,3219,64.11201,0.05227,61.878
"write-down",11,10284,70.52322,0.16699,61.289
"PPP",40,200769,256.44806,3.25998,60.434
"reporting",178,1103960,1141.19385,17.92550,60.352
"Greenhouse",20,71405,128.22403,1.15944,59.842
"institution",743,4844651,4763.52295,78.66481,59.807
"GDP",116,707151,743.69940,11.48233,59.660
"year-end",26,111602,166.69124,1.81213,59.631
"location-specific",10,6175,64.11201,0.10027,59.178
"nominal",57,320534,365.43851,5.20466,59.059
"amountv",9,1,57.70081,0.00002,58.700
"Sub-Sovereign",9,33,57.70081,0.00054,58.669
"tCO",9,63,57.70081,0.00102,58.641
"structured",70,410988,448.78412,6.67340,58.616
"supplier-specific",9,103,57.70081,0.00167,58.603
"co-manager",10,7028,64.11201,0.11412,58.443
"HFCs",10,7258,64.11201,0.11785,58.247
"WIOD",9,503,57.70081,0.00817,58.225
"harmonize",29,136749,185.92485,2.22046,58.043
"S2",25,110335,160.28004,1.79156,57.774
"Pwr",11,15422,70.52322,0.25041,57.200
"facilitation",29,142697,185.92485,2.31704,56.353
"calculation",185,1245250,1186.07227,20.21969,55.942
"Z2",11,17179,70.52322,0.27894,55.924
"N2O",11,18550,70.52322,0.30120,54.967
"CH4",13,33097,83.34562,0.53741,54.862
"IPCC",27,136043,173.10245,2.20899,54.255
"X6",11,19913,70.52322,0.32334,54.048
"RMBS",9,6340,57.70081,0.10295,53.222
"unallocated",10,14129,64.11201,0.22942,52.962
"Including",12,29116,76.93442,0.47277,52.917
"facilitator",46,283151,294.91528,4.59765,52.864
"CEDA",9,7234,57.70081,0.11746,52.530
"Emissionsc",8,0,51.28961,0.00000,52.290
"debtp",8,0,51.28961,0.00000,52.290
"RIAEr",8,0,51.28961,0.00000,52.290
"factorc",8,1,51.28961,0.00002,52.289
"loan",594,4445415,3808.25366,72.18224,52.052
"retained",14,46715,89.75682,0.75853,51.609
"disclosure",145,1064634,929.62427,17.28695,50.890
"X2",17,72900,108.99043,1.18371,50.369
"Z4",10,18239,64.11201,0.29615,50.235
"debt-based",8,3451,51.28961,0.05604,49.515
"Qu",12,36330,76.93442,0.58991,49.018
"Y3",8,4234,51.28961,0.06875,48.926
"SUR",8,4991,51.28961,0.08104,48.370
"illustrative",20,104019,128.22403,1.68900,48.056
"CLA",12,38969,76.93442,0.63276,47.732
"receivables",11,32063,70.52322,0.52062,47.036
"CMBS",8,8133,51.28961,0.13206,46.190
"RCIr",7,0,44.87841,0.00000,45.878
"originationv",7,0,44.87841,0.00000,45.878
"PPP-adjustment",7,1,44.87841,0.00002,45.878
"vehicle-unspecific",7,1,44.87841,0.00002,45.878
"GDPc",7,2,44.87841,0.00003,45.877
"factorf",7,7,44.87841,0.00011,45.873
"GEMIS",7,14,44.87841,0.00023,45.868
"ktCO2e",7,41,44.87841,0.00067,45.848
"EXIOBASE",7,65,44.87841,0.00106,45.830
"facilitate",266,2238925,1705.37964,36.35445,45.681
"treaty",96,787258,615.47534,12.78307,44.727
"X5",11,37027,70.52322,0.60122,44.668
"Chain",43,320218,275.68167,5.19953,44.629
"capitalization",19,107944,121.81283,1.75274,44.615
"MtCO2e",7,1861,44.87841,0.03022,44.533
"unadjusted",9,19942,57.70081,0.32381,44.342
"Value",60,477561,384.67209,7.75438,44.055
"production-based",7,2642,44.87841,0.04290,43.991
"absolute",197,1708346,1263.00671,27.73919,43.982
"in-scope",7,3465,44.87841,0.05626,43.435
"SSE",12,49641,76.93442,0.80604,43.152
"nitrous",13,59065,83.34562,0.95907,43.054
"NEDC",7,4231,44.87841,0.06870,42.929
"financial",907,8336861,5814.95996,135.36942,42.649
"N",261,2357536,1673.32361,38.28039,42.625
"outstanding",236,2127391,1513.04358,34.54342,42.597
"industry-led",7,5965,44.87841,0.09686,41.827
"PDL",8,15953,51.28961,0.25904,41.531
"Ur",16,92318,102.57922,1.49901,41.448
"phase-in",7,7441,44.87841,0.12082,40.933
"debt",343,3256694,2199.04224,52.88043,40.832
"separately",94,852481,602.65295,13.84212,40.672
"Z3",8,18041,51.28961,0.29294,40.442
"allocate",106,976571,679.58740,15.85703,40.374
"IFI",7,8549,44.87841,0.13881,40.286
"proxy",68,606420,435.96170,9.84672,40.285
"E",259,2490806,1660.50122,40.44436,40.090
"excl",7,9459,44.87841,0.15359,39.770
"subordinated",8,19547,51.28961,0.31739,39.692
"Treaty",50,437440,320.56009,7.10291,39.685
"premium",210,2040225,1346.35229,33.12806,39.479
"non-supplier-specific",6,0,38.46721,0.00000,39.467
"PPP-Adjusted",6,0,38.46721,0.00000,39.467
"amountp",6,0,38.46721,0.00000,39.467
"EmissionsProject",6,0,38.46721,0.00000,39.467
"consumptionb",6,0,38.46721,0.00000,39.467
"non-UoP",6,1,38.46721,0.00002,39.467
"emissionintensive",6,1,38.46721,0.00002,39.467
"Productionc",6,1,38.46721,0.00002,39.467
"Factorr",6,3,38.46721,0.00005,39.465
"AFr",6,20,38.46721,0.00032,39.454
"sectorspecific",6,51,38.46721,0.00083,39.435
"emission-intensive",6,339,38.46721,0.00550,39.251
"asset-level",6,509,38.46721,0.00826,39.144
"completeness",18,123915,115.40163,2.01206,38.645
"look-through",6,1366,38.46721,0.02218,38.611
"methodological",22,166038,141.04643,2.69603,38.432
"Y4",6,2548,38.46721,0.04137,37.899
"unallocate",6,2972,38.46721,0.04826,37.650
"X3",11,56011,70.52322,0.90948,37.457
"estimation",45,418928,288.50409,6.80233,37.105
"Net-Zero",6,4210,38.46721,0.06836,36.942
"type-specific",6,4821,38.46721,0.07828,36.602
"Z6",6,5002,38.46721,0.08122,36.502
"cession",7,16270,44.87841,0.26418,36.291
"fluctuation",33,300088,211.56966,4.87267,36.196
"Total",28,246581,179.51364,4.00385,36.075
"GSS",7,16838,44.87841,0.27341,36.028
"metric",101,1052171,647.53137,17.08458,35.861
"ITF",8,28879,51.28961,0.46892,35.597
"Proceed",11,62263,70.52322,1.01099,35.566
"Options",31,285891,198.74725,4.64214,35.403
"kt",8,31370,51.28961,0.50937,34.643
"country-level",6,8625,38.46721,0.14005,34.619
"Z5",6,9113,38.46721,0.14797,34.380
"estimated",71,759828,455.19531,12.33767,34.204
"asset-backed",6,9780,38.46721,0.15880,34.059
"XA",6,10492,38.46721,0.17036,33.722
"edition",369,4293772,2365.73340,69.71994,33.466
"Financial",125,1429327,801.40021,23.20864,33.145
"unavailable",29,286091,185.92485,4.64539,33.111
"Cashc",5,0,32.05601,0.00000,33.056
"PPP-adj",5,0,32.05601,0.00000,33.056
"IAEProject",5,0,32.05601,0.00000,33.056
"IAEr",5,0,32.05601,0.00000,33.056
"consumptionc",5,2,32.05601,0.00003,33.055
"emissions-generating",5,24,32.05601,0.00039,33.043
"sovereign-like",5,26,32.05601,0.00042,33.042
"sub-loan",5,95,32.05601,0.00154,33.005
"precautionary",13,95904,83.34562,1.55724,32.983
"geography-specific",5,153,32.05601,0.00248,32.974
"GHG-intensive",5,190,32.05601,0.00309,32.954
"TR",14,108050,89.75682,1.75446,32.949
"e.g.",335,3961960,2147.75244,64.33215,32.890
"territory-based",5,370,32.05601,0.00601,32.859
"MEUR",5,573,32.05601,0.00930,32.751
"Re",94,1074770,602.65295,17.45153,32.716
"BU",9,49112,57.70081,0.79745,32.658
"Trucost",5,956,32.05601,0.01552,32.551
"non-proportional",5,1167,32.05601,0.01895,32.441
"Sustainalytics",5,1442,32.05601,0.02341,32.300
"insurance",379,4615275,2429.84546,74.94032,32.010
"repay",32,335600,205.15845,5.44929,31.966
"Method",21,201154,134.63524,3.26623,31.793
"non-listed",5,2595,32.05601,0.04214,31.719
"underlie",125,1502606,801.40021,24.39850,31.592
"Asset",24,240721,153.86884,3.90870,31.550
"dioxide",43,478562,275.68167,7.77063,31.546
"ZA",6,15637,38.46721,0.25391,31.475
"ISIC",5,3610,32.05601,0.05862,31.226
"guidance",204,2533636,1307.88513,41.13980,31.061
"EF",11,80976,70.52322,1.31484,30.898
"NMB",5,4384,32.05601,0.07119,30.859
"data",305,3848411,1955.41650,62.48841,30.815
"SASB",5,4534,32.05601,0.07362,30.789
"factor",568,7259613,3641.56250,117.87766,30.641
"Table",91,1116977,583.41937,18.13687,30.539
"Nordea",5,5475,32.05601,0.08890,30.357
"amortization",9,57503,57.70081,0.93370,30.357
"net-zero",8,45175,51.28961,0.73353,30.164
"underwrite",11,84479,70.52322,1.37172,30.157
"disaggregate",5,5966,32.05601,0.09687,30.137
"carbon-intensive",5,7272,32.05601,0.11808,29.565
"gas-fired",6,21107,38.46721,0.34272,29.393
"O",167,2213001,1070.67065,35.93351,29.016
"income-generating",5,9064,32.05601,0.14718,28.815
"OV",5,11123,32.05601,0.18061,27.999
"CAF",8,53519,51.28961,0.86901,27.977
"tailpipe",6,25809,38.46721,0.41907,27.812
"metrics",5,11617,32.05601,0.18863,27.810
"purchased",5,11689,32.05601,0.18980,27.783
"standardized",30,367064,192.33604,5.96019,27.777
"counterparty",8,56997,51.28961,0.92549,27.157
"Investments",15,159099,96.16802,2.58336,27.116
"ES",17,189302,108.99043,3.07378,27.000
"industry-wide",6,28948,38.46721,0.47004,26.848
"third-party",42,561155,269.27048,9.11173,26.728
"Example",11,103607,70.52322,1.68231,26.665
"statisticsb",4,0,25.64481,0.00000,26.645
"Factorc",4,0,25.64481,0.00000,26.645
"Travelledva",4,0,25.64481,0.00000,26.645
"Efficiencyv",4,0,25.64481,0.00000,26.645
"emissionsp",4,0,25.64481,0.00000,26.645
"factorP",4,0,25.64481,0.00000,26.645
"non-supplierspecific",4,0,25.64481,0.00000,26.645
"factorb",4,4,25.64481,0.00006,26.643
"areab",4,6,25.64481,0.00010,26.642
"activitybased",4,43,25.64481,0.00070,26.626
"re-securitization",4,63,25.64481,0.00102,26.618
"worldbank.org",4,148,25.64481,0.00240,26.581
"bankruptcy-remote",4,208,25.64481,0.00338,26.555
"OA",12,119585,76.93442,1.94176,26.492
"asset-specific",4,407,25.64481,0.00661,26.470
"Paris-aligned",4,551,25.64481,0.00895,26.409
"Bookrunner",4,631,25.64481,0.01025,26.375
"non-interest-bear",4,780,25.64481,0.01267,26.312
"Oustanding",4,833,25.64481,0.01353,26.289
"ecoinvent",4,957,25.64481,0.01554,26.237
"mismatch",16,181702,102.57922,2.95038,26.220
"lending",35,469107,224.39206,7.61711,26.156
"refinance",14,152764,89.75682,2.48050,26.076
"filings",15,169027,96.16802,2.74457,25.949
"SBTi",4,1874,25.64481,0.03043,25.858
"highest",9,78315,57.70081,1.27164,25.841
"sustainability-linked",4,1945,25.64481,0.03158,25.829
"Y5",4,2101,25.64481,0.03411,25.766
"lower-rated",4,2136,25.64481,0.03468,25.752
"consumption",135,2015460,865.51221,32.72594,25.693
"inventory",97,1432264,621.88654,23.25632,25.679
"ABS",18,217985,115.40163,3.53952,25.642
"client-specific",4,2484,25.64481,0.04033,25.612
"Rr",4,2677,25.64481,0.04347,25.535
"Y6",4,3307,25.64481,0.05370,25.287
"OOA",4,3351,25.64481,0.05441,25.270
"GAAP",7,50437,44.87841,0.81897,25.222
"thermic",4,3646,25.64481,0.05920,25.156
"calculated",13,145429,83.34562,2.36140,25.092
"te",22,287235,141.04643,4.66397,25.079
"durably",4,4059,25.64481,0.06591,24.997
"Rater",4,4157,25.64481,0.06750,24.960
"supranational",5,20074,32.05601,0.32595,24.930
"removal",113,1732099,724.46576,28.12488,24.909
"mi",61,908340,391.08331,14.74913,24.896
"consistency",50,734063,320.56009,11.91932,24.890
"qua",6,36302,38.46721,0.58945,24.831
"bottom-up",8,68262,51.28961,1.10840,24.801
"country-specific",5,20619,32.05601,0.33480,24.765
"transparency",63,947767,403.90570,15.38933,24.705
"forestry",28,390919,179.51364,6.34753,24.568
"project-related",4,5233,25.64481,0.08497,24.558
"indirect",35,504398,224.39206,8.19014,24.525
"company-specific",4,5498,25.64481,0.08927,24.461
"Part",85,1317296,544.95215,21.38954,24.384
"customer-specific",4,5748,25.64481,0.09333,24.370
"CAPITAL",4,5956,25.64481,0.09671,24.295
"arranger",8,71216,51.28961,1.15637,24.249
"annualized",6,38950,38.46721,0.63245,24.177
"statistical",58,888722,371.84970,14.43059,24.163
"repurchase",8,71862,51.28961,1.16686,24.132
"bond",185,2994984,1186.07227,48.63092,23.918
"ni",5,23699,32.05601,0.38481,23.870
"co-financing",4,7208,25.64481,0.11704,23.853
"CPW",4,7576,25.64481,0.12301,23.726
"fresco",12,140736,76.93442,2.28519,23.723
"science-based",7,57672,44.87841,0.93645,23.692
"vehicle",461,7692469,2955.56396,124.90614,23.482
"x",277,4600806,1775.90283,74.70539,23.471
"respective",75,1204631,480.84012,19.56014,23.436
"insure",32,481333,205.15845,7.81562,23.386
"STR",6,42466,38.46721,0.68954,23.360
"Cost",13,163558,83.34562,2.65577,23.072
"Portfolio",12,147464,76.93442,2.39444,22.959
"paddy",8,78991,51.28961,1.28261,22.908
"da",42,670589,269.27048,10.88866,22.733
"repayment",20,291682,128.22403,4.73617,22.528
"unweighted",4,11462,25.64481,0.18611,22.464
"GH",8,82243,51.28961,1.33542,22.390
"OL",7,64852,44.87841,1.05303,22.347
"incl.",7,65339,44.87841,1.06094,22.261
"Approach",11,136484,70.52322,2.21615,22.239
"MBS",6,48000,38.46721,0.77940,22.180
"sheet",164,2907942,1051.43701,47.21758,21.827
"subnational",4,13700,25.64481,0.22245,21.796
"forward-looking",9,105062,57.70081,1.70594,21.693
"decennial",4,14329,25.64481,0.23267,21.616
"afforestation",4,14585,25.64481,0.23682,21.543
"Metrics",6,51255,38.46721,0.83225,21.540
"STA",5,33049,32.05601,0.53663,21.512
"sector",329,6017674,2109.28540,97.71172,21.378
"Distance",15,218563,96.16802,3.54891,21.361
"occupancy",17,258960,108.99043,4.20485,21.132
"proportional",17,258967,108.99043,4.20497,21.132
"GRI",4,16139,25.64481,0.26206,21.112
"GN",5,34861,32.05601,0.56605,21.108
"Markets",18,278206,115.40163,4.51736,21.097
"CO2",46,804249,294.91528,13.05896,21.048
"datum",1133,21248403,7263.89111,345.02002,20.996
"MSCI",5,35639,32.05601,0.57869,20.939
"Factor",15,224558,96.16802,3.64625,20.913
"L2",10,131229,64.11201,2.13083,20.797
"Equity",20,322118,128.22403,5.23038,20.741
"aggregate",45,800453,288.50409,12.99732,20.683
"off-balance",4,17929,25.64481,0.29112,20.637
"Intergovernmental",6,56868,38.46721,0.92339,20.520
"ESG",11,154653,70.52322,2.51117,20.370
"transparent",47,854907,301.32648,13.88152,20.316
"financing",52,952236,333.38248,15.46189,20.313
"market-based",5,38646,32.05601,0.62751,20.311
"revenue",187,3579413,1198.89465,58.12056,20.296
"PCAF-aligned",3,0,19.23360,0.00000,20.234
"parent-company-level",3,0,19.23360,0.00000,20.234
"SBTi-FI",3,0,19.23360,0.00000,20.234
"carbonaccountingfinancials.com",3,0,19.23360,0.00000,20.234
"Intensityv",3,0,19.23360,0.00000,20.234
"FEPool",3,0,19.23360,0.00000,20.234
"factorp",3,0,19.23360,0.00000,20.234
"Intensityc",3,0,19.23360,0.00000,20.234
"info@carbonaccountingfinancials.com",3,0,19.23360,0.00000,20.234
"Emissionsr",3,0,19.23360,0.00000,20.234
"EmissionsInsured",3,0,19.23360,0.00000,20.234
"RevenueInsured",3,0,19.23360,0.00000,20.234
"ADJb",3,0,19.23360,0.00000,20.234
"emissionsproxy",3,0,19.23360,0.00000,20.234
"GDPproxy",3,0,19.23360,0.00000,20.234
"Reinsuranceassociated",3,0,19.23360,0.00000,20.234
"Assetss",3,1,19.23360,0.00002,20.233
"investee-specific",3,1,19.23360,0.00002,20.233
"PPPadjusted",3,2,19.23360,0.00003,20.233
"PCAFs",3,5,19.23360,0.00008,20.232
"governmental-owned",3,5,19.23360,0.00008,20.232
"onbalance",3,7,19.23360,0.00011,20.231
"Simosol",3,9,19.23360,0.00015,20.231
"amounti",3,18,19.23360,0.00029,20.228
"scorei",3,20,19.23360,0.00032,20.227
"tunrover",3,38,19.23360,0.00062,20.221
"continental-level",3,57,19.23360,0.00093,20.215
"Revenue-based",3,103,19.23360,0.00167,20.200
"Community-Scale",3,137,19.23360,0.00222,20.189
"Megawatt-hour",3,140,19.23360,0.00227,20.188
"Paris-Aligned",3,157,19.23360,0.00255,20.182
"Swedfund",3,160,19.23360,0.00260,20.181
"resecuritization",3,178,19.23360,0.00289,20.175
"CTI",4,19790,25.64481,0.32134,20.165
"climate-carbon",3,222,19.23360,0.00360,20.161
"comanager",3,250,19.23360,0.00406,20.152
"organization-based",3,265,19.23360,0.00430,20.147
"Finnfund",3,272,19.23360,0.00442,20.145
"Hydrofluorocarbon",3,274,19.23360,0.00445,20.144
"Perfluorocarbon",3,337,19.23360,0.00547,20.123
"tranched",3,340,19.23360,0.00552,20.123
"Basel",10,137706,64.11201,2.23600,20.121
"multifamily",6,59345,38.46721,0.96361,20.099
"Io",12,177411,76.93442,2.88070,20.083
"comparable",41,748153,262.85925,12.14810,20.068
"Investee",3,509,19.23360,0.00826,20.068
"intensity-based",3,739,19.23360,0.01200,19.994
"disburse",7,79840,44.87841,1.29640,19.978
"G-SIB",3,788,19.23360,0.01280,19.978
"Kyoto",13,198649,83.34562,3.22555,19.961
"supplemental",16,258717,102.57922,4.20091,19.916
"EEA",6,60651,38.46721,0.98482,19.885
"Guidehouse",3,1083,19.23360,0.01759,19.884
"government-based",3,1089,19.23360,0.01768,19.882
"Country-specific",3,1214,19.23360,0.01971,19.842
"ACCOUNTING",3,1526,19.23360,0.02478,19.744
"Gross",13,201820,83.34562,3.27704,19.721
"Loan",18,302896,115.40163,4.91826,19.668
"carbon",122,2405530,782.16663,39.05969,19.550
"Bonds",5,42622,32.05601,0.69207,19.536
"sequester",7,83205,44.87841,1.35104,19.514
"Biogenic",3,2426,19.23360,0.03939,19.467
"time-lag",3,2537,19.23360,0.04119,19.433
"assuredness",3,2607,19.23360,0.04233,19.412
"methane",16,268379,102.57922,4.35779,19.332
"revolving",9,125740,57.70081,2.04170,19.299
"retrocession",3,3023,19.23360,0.04909,19.287
"sustainability-related",3,3481,19.23360,0.05652,19.151
"W1",4,24171,25.64481,0.39248,19.135
"consumption-based",3,3618,19.23360,0.05875,19.111
"gross",54,1059309,346.20490,17.20049,19.077
"company-wide",4,24538,25.64481,0.39843,19.053
"non-energy",3,3863,19.23360,0.06273,19.039
"double-count",3,4182,19.23360,0.06791,18.947
"electricity",86,1739082,551.36334,28.23827,18.892
"applicable",72,1448317,461.60651,23.51698,18.869
"LS",8,109370,51.28961,1.77589,18.837
"surety",7,88445,44.87841,1.43612,18.833
"enabler",7,88587,44.87841,1.43843,18.815
"co-insurance",3,5088,19.23360,0.08262,18.690
"AR5",3,5168,19.23360,0.08392,18.667
"W2",4,26595,25.64481,0.43184,18.609
"OECD",12,196599,76.93442,3.19227,18.590
"Clos",4,26882,25.64481,0.43650,18.548
"estimate",210,4415022,1346.35229,71.68873,18.536
"r",62,1266590,397.49451,20.56620,18.478
"FMO",3,5940,19.23360,0.09645,18.454
"macroeconomic",8,113964,51.28961,1.85049,18.344
"AMRO",3,6532,19.23360,0.10606,18.293
"mn",4,28373,25.64481,0.46071,18.241
"avoidance",14,245143,89.75682,3.98050,18.222
"TY",4,28563,25.64481,0.46379,18.203
"P90",3,7011,19.23360,0.11384,18.166
"granular",8,115969,51.28961,1.88304,18.137
"baseline",33,660647,211.56966,10.72723,18.126
"feasible",22,421690,141.04643,6.84717,18.102
"i.e.",162,3489710,1038.61462,56.66402,18.029
